MR,Author,Journal,Year,Publication Type,Citation,Version,Website,Lentght,Accuracy Score,Lenght
3539599,"Abdollahi, A. and Janbaz, S. and Jazaeri, M.",J. Algebra Appl.,2016,article,"The GAP Group, GAP — Groups, Algorithms, and Programming, Version 4.7.2 (2013); http://www.gap-system.org.",4.7.2,Yes,106,3,106
3654193,"Abdollahi, A. and van Dam, E. R. and Jazaeri, M.",Des. Codes Cryptogr.,2017,article,"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.6.4. http://www.gap-system.org (2013).",4.6.4,Yes,104,3,104
3635141,"Abdollahi, A. and Ahmadi, M. and Ghoraishi, S. M.",J. Algebra Appl.,2017,article,"The GAP group, GAP-groups, algorithms, and programming, version 4.6.5 (2013), http://www.gap-system.org.",4.6.5,Yes,104,3,104
3730759,"Abdollahi, A. and Daoud, B. and Farrokhi D. G. , M. and Guerboussa, Y.",Internat. J. Algebra Comput.,2017,article,"The GAP Group, GAP-Groups, Algorithms and Programming, Version 4.7.9 (2015), http://www.gap-system.org/.",4.7.9,Yes,104,3,104
3691357,"Abdollahi, A. and Guedri, M. and Guerboussa, Y.",Comm. Algebra,2017,article,"The GAP Group (2008). GAP-Groups, algorithms, and programming, Version 4.4.12. www.gap-system.org.",4.4.12,Yes,98,3,98
3764905,"Abdollahi, A. and Taheri, Z.",Comm. Algebra,2018,article,"The GAP Group (2013). GAP – Groups, Algorithms, and Programming, Version 4.7.2. Available at http://www.gap-system.org. Last accessed at July 25, 2017.",4.7.2,Yes,151,3,151
3910666,"Abdollahi, A. and Zallaghi, M.",J. Algebra Appl.,2019,article,"The GAP Group, GAP Groups, Algorithms, and Programming, Version 4.8.8 (2017), http://www.gap-system.org.",4.8.8,Yes,104,3,104
3924790,"Abdollahi, A. and Jafari, F.",Comm. Algebra,2019,article,"The GAP Group. (2013). GAP—groups, algorithms, and programming, Version 4.6.4. http://www.gap-system.org.",4.6.4,Yes,105,3,105
4089644,"Abdollahi, A. and Rahmani, N.",Bull. Malays. Math. Sci. Soc.,2020,article,"The GAP Group, GAP – Groups, Algorithms, and Programming–a System for Computational Discrete Algebra, Version 4.8.9 (2017). http://www.gap-system.org",4.8.9,Yes,149,3,149
4098943,"Abdollahi, A. and Jafari, F.",J. Algebra Appl.,2020,article,"The GAP Group, GAP-Groups, Algorithms, and Programming, version 4.6.4, 2013. http://www.gap-system.org.",4.6.4,Yes,103,3,103
3116785,"Abdolzadeh, H. and Eick, B.",Algebra Colloq.,2013,article,"The GAP Group, GAP — Groups, Algorithms and Programming, Version 4.4 (available from http://www.gap-system.org, 2005).",4.4,Yes,118,3,118
3073368,"Abel, R. J. R. and Combe, D. and Nelson, A. M. and Palmer, W. D.",Des. Codes Cryptogr.,2013,article,"The GAP Group: GAP—groups, algorithms, and programming, Version 4.4.10 (2007) http://www.gap-system.org.",4.4.10,Yes,104,3,104
