MR,Author,Journal,Year,Publication Type,MSC,Citation,Version,Website,Length,Accuracy Score
3639606,"Adiprasito, K. A. and Benedetti, B. and Lutz, F. H.",Discrete Comput. Geom.,2017,article,57Q15 (52B70 55N35 55U10 57N10 57N13 57Q05),"The GAP Group: GAP—Groups, Algorithms, Programming, Version 4.7.7. http://www.gap-system.org (2015)",4.7.7,Yes,99,3
1416724,"Adler, A.",Proc. London Math. Soc. (3),1997,article,14G35 (11F32 11G20 14H45 20B25 20C34),"M. Schönert et al, GAP: groups, algorithm and programming, © 1992 by Lehrstuhl D für Mathematik, distributed with the GAP software via ftp from samson.math.rwth-aachen.de.",Unknown,No,171,1
3520420,"Adrianov, N.",Zap. Nauchn. Sem. S.-Peterburg. Otdel. Mat. Inst. Steklov. (POMI),2016,article,14H30 (14H10 20B25),"The GAP Group, ""GAP–Groups, Algorithms, and Programming,"" Version 4.7.5 (2014) (http://www.gap-system.org).",4.7.5,Yes,107,3
3354073,"Afkhami, M. and Farrokhi D. G. , M. and Khashyarmanesh, K.",Comm. Algebra,2015,article,05C25 (05C10),"The GAP Group, (2013). GAP-Groups, Algorithms and Programming, Version 4.6.4. Available at http://www.gap-system.org/.",4.6.4,Yes,118,3
2101111,"Aguglia, A. and Bonisoli, A.",Discrete Math.,2004,article,51E15 (05B25),"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.2, Aachen, St. Andrews, 2000, http://www-gap.dcs.stand.ac.uk/simgap",4.2,Yes,133,3
2430408,"Aguglia, A. and Giuzzi, L.",Results Math.,2008,article,51E21 (05B25),"The GAP Group; GAP - Groups, Algorithms, and Programming, Version 4.4; 2006, (http://www.gap-system.org).",4.4,Yes,105,3
2375514,"Aguglia, A. and Giuzzi, L.",Contrib. Discrete Math.,2008,article,11E39 (94B05),"GAP–Groups, Algorithms, and Programming, Version 4.4, 2006, http://www.gap-system.org.",4.4,Yes,86,2
2401257,"Aguglia, A. and Giuzzi, L.",Innov. Incidence Geom.,2007,article,05B25 (05B15 51E15),"The GAP Group, GAP - Groups, Algorithms, and Programming, Version 4.4; 2006, (http://www.gap-system.org).",4.4,Yes,105,3
2729387,"Aguiló-Gost, F. and García-Sánchez, P. A.",Electron. J. Combin.,2010,article,11D07 (05B45 05C90 11D45),"M. Delgado, P. A. García-Sánchez and J. Morais, ""numericalsgps"": a GAP [12] package on numerical semigroups. (http://www.gap-system.org/Packages/numericalsgps.html). 
MR3493240",Package,Yes,176,3
2729387,"Aguiló-Gost, F. and García-Sánchez, P. A.",Electron. J. Combin.,2010,article,11D07 (05B45 05C90 11D45),"The GAP Group. GAP - Groups, Algorithms, and Programming, Version 4.4, 2004. (http://www.gap-system.org).",4.4,Yes,105,3
3373319,"Aguiló-Gost, F. and García-Sánchez, P. A. and Llena, D.",Discrete Math.,2015,article,05E18,"M. Delgado, P. A. García-Sánchez, J. Morais, ""NumericalSgps"", A GAP package for numerical semigroups. Available via http://www.gap-system.org.",Package,Yes,142,3
3373319,"Aguiló-Gost, F. and García-Sánchez, P. A. and Llena, D.",Discrete Math.,2015,article,05E18,"The GAP Group, GAP–Groups, Algorithms, and Programming, Version 4.7.5; 2014, http://www.gap-system.org.",4.7.5,Yes,103,3
3885946,"Aguiló-Gost, F. and Llena, D.",Quaest. Math.,2018,article,05C90 (11D45 11P21),"The GAP Group, GAP - Groups, Algorithms, and Programming, Version 4.7.5; 2014, (http://www.gap-system.org).",4.7.5,Yes,107,3
2893470,"Ahanjideh, N. and Iranmanesh, A.",Bull. Malays. Math. Sci. Soc. (2),2012,article,20D06 (20C33 20D20 20G40),"The GAP group, GAP-Groups, Algorithms, and Programming, Version 4.3, Aachen, St Andrews (2002) http://www.gap-system.org.",4.3,Yes,121,3
3730658,"Ahanjideh, N. and Mousavi, L. and Taeri, B.",Bull. Iranian Math. Soc.,2017,article,20D06 (20D15),"The GAP Group, GAP-Groups, Algorithms and Programming, Vers. 4.6.12, 2008, http://www.gap-system.org.",4.6.12,Yes,101,3
3292056,"Ahmadi, H. and Taeri, B.",Bull. Iranian Math. Soc.,2014,article,20D60 (05C25),"The GAP Group, GAP-Groups, Algorithms and Programing, Version 4.4; 2005, (http://www.gap-system.org).",4.4,Yes,101,3
2860370,"Ahmadidelir, K. and Campbell, C. M. and Doostie, H.",Algebra Colloq.,2011,article,20M05 (20F05 20P05),"The GAP group, GAP – Groups, Algorithms and Programming, Version 4.4, Aachen, St. Andrews, 2004 (http://www.gap-system.org).",4.4,Yes,124,3
3786749,"Ahmadidelir, K.",J. Algebra Appl.,2018,article,20N05 (20D60),"The GAP group, GAP Groups, Algorithms and Programming, Aachen, St. Andrews Version 4.7.2 (2013), http://www.gap-system.org.",4.7.2,Yes,123,3
3786749,"Ahmadidelir, K.",J. Algebra Appl.,2018,article,20N05 (20D60),"G. P. Nagy and P. Vojtěchovský, LOOPS Version 2.1.3, Package for GAP 4.4.12., http://www.math.du.edu/loops.",Package,Yes,107,3
3786749,"Ahmadidelir, K.",J. Algebra Appl.,2018,article,20N05 (20D60),"L. H. Soicher, The GRAPE package for GAP, Version 4.6.1, 2012, http://www.maths.qmul.ac.uk/leonard/grape/.",Package,Yes,106,3
3963088,"Ahmed, E. and Savchuk, D.",Comm. Algebra,2019,article,20E08 (20F65 68Q70),"Muntyan, Y., Savchuk, D. (2016). AutomGrp – tt GAP package for computations in self-similar groups and semigroups, Version 1.3. Accepted GAP package. Available at http://www.gap-system.org/Packages/automgrp.html",Package,Yes,211,3
1871890,"Aichinger, E.",Quaest. Math.,2001,article,16Y30,"E. Aichinger, F. Binder, J. Ecker, R. Eggetsberger, P. Mayr, and C. Nöbauer, SONATA - system of near-rings and their applications, package for the group theory system GAP4, Division of Algebra, Johannes Kepler University Linz, Austria, 1999. 
MR1492191",Package,No,252,2
1871890,"Aichinger, E.",Quaest. Math.,2001,article,16Y30,"The GAP Group, Aachen, St. Andrews, GAP–Groups, Algorithms, and Programming, Version 4.1, 1999, (http://www-gap.dcs.st-and.ac.uk/simgap).",4.1,Yes,137,3
1916567,"Aichinger, E.",Acta Sci. Math. (Szeged),2002,article,08A40 (16Y30 20E22),"E. Aichinger, F. Binder, J. Ecker, R. Eggetsberger, P. Mayr, and C. Nöbauer, SONATA–system of near-rings and their applications, package for the group theory system GAP4, Division of Algebra, Johannes Kepler University Linz, Austria, 1999. 
MR1492191",Package,No,250,2
1916567,"Aichinger, E.",Acta Sci. Math. (Szeged),2002,article,08A40 (16Y30 20E22),"The GAP Group, Aachen, St. Andrews, GAP–Groups, Algorithms, and Programming, Version 4.1, http://www-gap.dcs.st-and.ac.uk/ gap, 1999.",4.1,Yes,133,3
2167009,"Aichinger, E. and Farag, M.",Aequationes Math.,2004,article,16Y30 (39B05),"E. Aichinger, F. Binder, J, Ecker, R. Eggetsberger, P. Mayr and C. Nöbauer, SONATA - system of near-rings and their applications, package for the group theory system GAP4, Division of Algebra, Johannes Kepler University Linz, Austria, 1999. 
MR1492191",Package,No,251,2
2167009,"Aichinger, E. and Farag, M.",Aequationes Math.,2004,article,16Y30 (39B05),"The Gap Grpup, Aachen, St. Andrews, GAP - Groups, Algorithms, and Programming, Version 4.1, 1999, (http://www-gap.dcs.st-and.ac.uk/simgap).",4.1,Yes,139,3
4120272,"Aivazidis, S. and Guralnick, R. M.",Atti Accad. Naz. Lincei Rend. Lincei Mat. Appl.,2020,article,20D60 (20D06 20D25),"The GAP Group, GAP – Groups, Algorithms, and Programming, Version 4.10.0; 2018. (https://www.gap-system.org)",4.10.0,Yes,108,3
3096845,"Akbari, M. and Moghaddamfar, A. R.",J. Algebra Appl.,2014,article,20D15 (05C25 05E30),"The GAP group, GAP-Groups, Algorithms, and Programming, Version 4.3, Aachen, St. Andrews (2002), http://www.gap-system.org.",4.3,Yes,123,3
3975975,"Ahmadkhah, N. and Zarrin, M.",Comm. Algebra,2019,article,20D60 (20D99 20E45),"GAP Group (2017). GAP-Groups, Algorithms, and Programming, Version 4.8.8. http://www.gap-system.org.",4.8.8,Yes,100,3
2403396,"Akhmedov, A. and Park, B. D.",Invent. Math.,2008,article,57R55 (57R17),"The GAP Group: GAP–Groups, Algorithms, and Programming, Version 4.3. http://www.gap-system.org. 2002",4.3,Yes,100,3
