MR,Citation
MR2986074,"T. G. Group, GAP - Groups, Algorithms, and Programming, Version 4.4.10, http://www.gapsystem.org, 2007."
MR3590865,"The GAP Group, GAP — Groups, Algorithms, and Programming, Version 4.7.4; 2014 (http://www.gap-system.org)."
MR3639606,"The GAP Group: GAP—Groups, Algorithms, Programming, Version 4.7.7. http://www.gap-system.org (2015)"
MR1416724,"M. Schönert et al, GAP: groups, algorithm and programming, © 1992 by Lehrstuhl D für Mathematik, distributed with the GAP software via ftp from samson.math.rwth-aachen.de."
MR3520420,"The GAP Group, ""GAP–Groups, Algorithms, and Programming,"" Version 4.7.5 (2014) (http://www.gap-system.org)."
MR3354073,"The GAP Group, (2013). GAP-Groups, Algorithms and Programming, Version 4.6.4. Available at http://www.gap-system.org/."
MR2101111,"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.2, Aachen, St. Andrews, 2000, http://www-gap.dcs.stand.ac.uk/$\sim$gap"
MR2430408,"The GAP Group; GAP - Groups, Algorithms, and Programming, Version 4.4; 2006, (http://www.gap-system.org)."
MR2375514,"GAP–Groups, Algorithms, and Programming, Version 4.4, 2006, http://www.gap-system.org."
MR2401257,"The GAP Group, GAP - Groups, Algorithms, and Programming, Version 4.4; 2006, (http://www.gap-system.org)."
MR2729387,"M. Delgado, P. A. García-Sánchez and J. Morais, ""numericalsgps"": a GAP [12] package on numerical semigroups. (http://www.gap-system.org/Packages/numericalsgps.html). 
MR3493240"
MR2729387,"The GAP Group. GAP - Groups, Algorithms, and Programming, Version 4.4, 2004. (http://www.gap-system.org)."
MR3373319,"M. Delgado, P. A. García-Sánchez, J. Morais, ""NumericalSgps"", A GAP package for numerical semigroups. Available via http://www.gap-system.org."
MR3373319,"The GAP Group, GAP–Groups, Algorithms, and Programming, Version 4.7.5; 2014, http://www.gap-system.org."
MR3885946,"The GAP Group, GAP - Groups, Algorithms, and Programming, Version 4.7.5; 2014, (http://www.gap-system.org)."
MR2893470,"The GAP group, GAP-Groups, Algorithms, and Programming, Version 4.3, Aachen, St Andrews (2002) http://www.gap-system.org."
MR3730658,"The GAP Group, GAP-Groups, Algorithms and Programming, Vers. 4.6.12, 2008, http://www.gap-system.org."
MR3292056,"The GAP Group, GAP-Groups, Algorithms and Programing, Version 4.4; 2005, (http://www.gap-system.org)."
MR2860370,"The GAP group, GAP – Groups, Algorithms and Programming, Version 4.4, Aachen, St. Andrews, 2004 (http://www.gap-system.org)."
MR3786749,"The GAP group, GAP Groups, Algorithms and Programming, Aachen, St. Andrews Version 4.7.2 (2013), http://www.gap-system.org."
MR3786749,"G. P. Nagy and P. Vojtěchovský, LOOPS Version 2.1.3, Package for GAP 4.4.12., http://www.math.du.edu/loops."
MR3786749,"L. H. Soicher, The GRAPE package for GAP, Version 4.6.1, 2012, http://www.maths.qmul.ac.uk/leonard/grape/."
MR3963088,"Muntyan, Y., Savchuk, D. (2016). AutomGrp – tt GAP package for computations in self-similar groups and semigroups, Version 1.3. Accepted GAP package. Available at http://www.gap-system.org/Packages/automgrp.html"
MR1871890,"E. Aichinger, F. Binder, J. Ecker, R. Eggetsberger, P. Mayr, and C. Nöbauer, SONATA - system of near-rings and their applications, package for the group theory system GAP4, Division of Algebra, Johannes Kepler University Linz, Austria, 1999. 
MR1492191"
MR1871890,"The GAP Group, Aachen, St. Andrews, GAP–Groups, Algorithms, and Programming, Version 4.1, 1999, (http://www-gap.dcs.st-and.ac.uk/$\sim$gap)."
MR1916567,"E. Aichinger, F. Binder, J. Ecker, R. Eggetsberger, P. Mayr, and C. Nöbauer, SONATA–system of near-rings and their applications, package for the group theory system GAP4, Division of Algebra, Johannes Kepler University Linz, Austria, 1999. 
MR1492191"
MR1916567,"The GAP Group, Aachen, St. Andrews, GAP–Groups, Algorithms, and Programming, Version 4.1, http://www-gap.dcs.st-and.ac.uk/ gap, 1999."
MR2167009,"E. Aichinger, F. Binder, J, Ecker, R. Eggetsberger, P. Mayr and C. Nöbauer, SONATA - system of near-rings and their applications, package for the group theory system GAP4, Division of Algebra, Johannes Kepler University Linz, Austria, 1999. 
MR1492191"
MR2167009,"The Gap Grpup, Aachen, St. Andrews, GAP - Groups, Algorithms, and Programming, Version 4.1, 1999, (http://www-gap.dcs.st-and.ac.uk/$\sim$gap)."
MR4120272,"The GAP Group, GAP – Groups, Algorithms, and Programming, Version 4.10.0; 2018. (https://www.gap-system.org)"
MR3096845,"The GAP group, GAP-Groups, Algorithms, and Programming, Version 4.3, Aachen, St. Andrews (2002), http://www.gap-system.org."
MR3975975,"GAP Group (2017). GAP-Groups, Algorithms, and Programming, Version 4.8.8. http://www.gap-system.org."
MR2403396,"The GAP Group: GAP–Groups, Algorithms, and Programming, Version 4.3. http://www.gap-system.org. 2002"
MR2942961,"The GAP Group, GAP—Groups, Algorithms and Programming, Vers. 4.4.12 (2008). http://www.gap-system.org"
MR3503393,"The GAP Group. (2015). GAP - Groups, Algorithms and Programming, Vers. 4.7.9 http://www.gap-system.org."
MR3960350,"The GAP $\backsim$ Group (2016). GAP–Groups, Algorithms, and Programming, Version 4.8.6. http://www.gap-sys-tem.org."
MR3295586,"The GAP Group. Gap—groups, algorithms, and programming, version 4.7.2, http://www.gap-system.org+. 2013."
MR3939480,"GAP—Groups, Algorithms, Programming—System for Computational Discrete Algebra, GAP 4.10.0, https://wwwgap-system.org."
MR3110815,"The GAP Group. `GAP - groups, algorithms, and programming, version 4.4.12', 2008, http://www.gap-system.org."
MR3568918,"The GAP Group, GAP – Groups, Algorithms, and Programming, Version 4.8.2, (2016). http://www.gap-system.org/Releases/."
MR3696107,"The GAP Group: GAP—Groups, Algorithms, and Programming, Version 4.8.2 (2016). http://www.gap-system.org"
MR3902341,"The GAP Group, GAP – Groups, Algorithms, and Programming, Version 4.7.9, 2015, URL http://www.gap-system.org."
MR4045406,"The GAP Group, GAP – Groups, Algorithms, and Programming, Version 4.7.9, 2015, http://www.gap-system.org/."
MR4114312,"The GAP Group.: GAP—Groups, Algorithms, and Programming, Version 4.7.9 (2015). http://www.gap-system.org"
MR4153328,"The GAP Group: The GAP Group—Groups, Algorithms, and Programming, Version 4.10.2 (2019). http://www.gap-system.org"
MR4090499,"The GAP Group: GAP – Groups, Algorithms, and Programming, Version 4.7.9 (2015). http://www.gapsystem.org"
MR4158512,"The GAP group, GAP — Groups, Algorithms, and Programming, Version 4.10.2, 2019, available at https://www.gap-system.org"
MR4163372,"The GAP Group: GAP – Groups, Algorithms, and Programming, Version 4.7.9 (2015). http://www.gap-system.org"
MR4197103,"The GAP Group, GAP - Groups, Algorithms, and Programming, Version 4.11.0, 2020, https://www.gap-system.org."
MR2156685,"The GAP Group, GAP - Groups, Algorithms, and Programming, Version 4.4; 2004, (http://www.gap-system.org)."
MR2501429,"Delgado, M., Linton, S. and Morais, J. (2007) Automata: A GAP package (1.10). http://cmup.fc.up.pt/cmup/mdelgado/automata/"
MR2501429,"GAP: Groups, Algorithms, and Programming, Version 4.4.10 (2007). http://www.gap-system.org"
MR2967225,"The GAP Group. GAP - Groups, Algorithms, and Programming, Version 4.4.12, 2008. http://www.gap-system.org."
MR3898216,"GAP – groups, algorithms and programming, version 4.7.4 (2014), http://www.gap-system.org."
MR2728929,"GAP: A System for Computational Discrete Algebra, http://www.gap-system.org."
MR2533593,"The GAP Group, GAP—Groups, Algorithms, and Programming. Version 4.4.2 (2004), http://www.gap-system.org."
MR1991706,"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.2; Aachen, St Andrews, 1999. (http://www-gap.dcs.st-and.ac.uk/$\sim$gap)."
MR3497178,"The GAP Group (GAP Groups, Algorithms, and Programming), Version 4.4.12. http://www.gap-systein.org"
MR1760973,"M. Schönert, T. Breuer, F. Celler, S. Linton, B. Eick, V. Felsch, W. de Graaf, A. Hulpke, W. Nickel, F. Rakoczi, A. Seress, H. Theissen, GAP—Groups, Algorithms, and Programming, Lehrstuhl D für Mathematik, Rheinishch-Westfälische Technische Hochschule, Aachen, Germany, version 4r1, 1999."
MR3363609,"The GAP Group. GAP – Groups, Algorithms, and Programming, Version 4.7.5, 2014 http://www.gap-system.org."
MR1993362,"The GAP Group, GAP - Groups, Algorithms and Programming, Version 4.2 , Aachen, St Andrews, 2000, (http://www-gap.dcs.st-and.ac.uk/~gap)."
MR2159235,"The GAP Group, GAP - Groups, Algorithms and programming, version 4.3, Aachen, St Andrews, 2003. (http://www-gap.dcs.st-and.ac.uk/$\sim$gap)."
MR2174866,"The GAP Group, GAP—Groups, Algorithms and Programming, Version 4.3, Aachen, St Andrews, 2003 (http://www.gap-system.org)."
MR2278116,"The GAP Group, $\Bbb{GAP}$ - Groups, Algorithms and Programming (Version 4.3), Aachen, St Andrews, 2002 (http://www-gap.dcs.st-and.ac.uk/~gap)."
MR2401559,"The GAP group, GAP, Aachen, St. Andrews, http:www-gap.dcs.st-and.ac.uk/gap, 1999."
MR2303162,"The GAP Group, GAP—Groups, Algorithms and Programming, Version 4.3, Aachen, St Andrews, 2003, <http://www.gap-system.org>."
MR2404644,"The GAP Group, GAP - Groups, Algorithms and Programming, Version 4.2, Aachen, St. Andrews, 2000, (http://www-gap.dcs.st-and.ac.uk/-gap)."
MR2660431,"The GAP Group, GAP — Groups, Algorithms and Programming (Version 4.2), Aachen, St Andrews, 2000 (http://www-gap.dcs.st-and.ac.uk/~gap)."
MR2923663,"The GAP Group, $\Bbb{GAP}$ - Groups, Algorithms and Programming, Version 4.3, Aachen, St Andrews, 2002, (http://www.gap-system.org)."
MR3293591,"The GAP Group, $\Bbb{G}\Bbb{A}\Bbb{P}$ - Groups, Algorithms and Programming, Version 4.3, Aachen, St. Andrews, 2003, (http://www.gap-system.org)."
MR3943349,"F. Ali, M. Al-Kadhi, A. Aljouiee and M. Ibrahim, 2-generations of finite simple groups in GAP, in: 2016 International Conference on Computational Science and Computational Intelligence (CSCI), IEEE Press, Piscataway (2016), 1339–1344."
MR3943349,"The GAP Group, GAP - groups, algorithms, and programming, version 4.8.3, 2016, (http://www.gap-system.org)."
MR4180130,"Dietrich, H., Faccin, P., de Graaf, W.A., 2019. CoReLG, computation with real Lie groups, Version 1.53. https://gap-packages.github.io/corelg/. Refereed GAP package."
MR4180130,"The GAP Group, 2019. GAP – Groups, Algorithms, and Programming, Version 4.10.2. https://www.gap-system.org."
MR4170882,"F. Ali, M. Al-Kadhi, A. Aljouiee, M.A.F. Ibrahim, 2-Generations of finite simple groups in GAP, in: 2016 International Conference on Computational Science and Computational Intelligence (CSCI), IEEE Conf. Proc., 249, IEEE, Las Vegas, NV, 2016, pp. 1339–1344 (doi:10.1109/CSCI.2016.0250)."
MR4170882,"The GAP Group, GAP—Groups, Algorithms, and Programming, version 4.8.3, 2016 (http://www.gap-system.org)."
MR3763899,"The GAP Group, GAP – Groups, Algorithms, and Programming, Version 4.8.7; 2017. http://www.gap-system.org"
MR3763899,"L. H. Soicher, GRAPE (Version 4.7) Package for GAP, http://www.maths.qmul.ac.uk/~leonard/grape/"
MR3906521,"The GAP Group, GAP – Groups, Algorithms, and Programming, Version 4.8.7, http://www.gap-system.org, 2017."
MR2669349,"The GAP Group, GAP - Groups, Algorithms, and Programming, version 4.4.10, http://www.gap-system.org, 2007."
MR2953198,"The GAP Group, GAP–Groups, Algorithms, and Programming, Version 4.4.10; 2007. (http://www.gap-system.org)"
MR2142087,"The GAP Group, GAP–Groups, Algorithms, and Programming, Version 4.2 (2000), http://www.gap-system.org."
MR3096581,"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.4, 2006 (http://www.gap-system.org)."
MR4095494,"M. Delgado, S. Linton and J. Morais, Automata: A GAP package on finite automata, http://www.gap-system.org/Packages/automata.html."
MR4095494,"M. Delgado and J. Morais, SgpViz: A GAP package to visualize finite semigroups, 2008, http://www.gap-system.org/Packages/sgpviz.html."
MR4095494,"The GAP Group, GAP – Groups, Algorithms, and Programming, Version 4.6, 2013, (http://www.gap-system.org)."
MR3795420,"G. Ellis. GAP file containing the permutahedral complex of Figure 1, 2017. http://hamilton.nuigalway.ie/preprints/permutahedralcomplex.txt"
MR3874025,"Dumas, J.-G., Heckenbach, F., Saunder, B., Welker, V.: GAP Homology. http://www.eecis.udel.edu/dumas/Homology (2011)"
MR1776049,"M. Alp, GAP, crossed modules, $cat^1$-groups: Applications of computational group theory, Ph.D. Thesis, University of Wales, Bangor, 1997. 
MR1675053"
MR1776049,"M. Alp and C. D. Wensley, XMOD—Crossed modules and $Cat1$-groups in GAP, version 1.3—Manual for the XMOD share package (1997), pp. 1–78."
MR1776049,"M. Schönert et al., GAP—Groups, Algorithms, and Programming, Lehrstuhl D für Mathematik, Rheinisch Westfälische Technische Hochschule, Aachen, Germany, 5th edition, 1995."
MR1935568,"M. Alp and C. D. Wensley, XMOD—Crossed modules and Cat1-groups in GAP, version 1.3 Manual for the XMOD share package (1996) 1–80."
MR1935568,"M. Schönert et al., GAP: Groups, Algorithms, and Programming, Lehrstuhl D für Mathematik, Rheinisch Westfälische Technische Hochschule, Aachen, Germany, 3rd ed., 1993."
MR2248746,"Alp, M., and Wensley, C. D., XMOD, Crossed modules and cat1-groups in GAP, version 1.3 Manual for the XMOD share package, 1–80, (1997)."
MR2248746,"Schönert, M. et al, GAP: Groups, Algorithms, and Programming, Lehrstuhl D für Mathematik, Rheinisch Westfälische Technische Hochschule, Aachen, Germany, third edition, (1993)."
MR1840174,"Alp, M., and Wensley, C. D., XMOD, Crossed modules and cat1-groups in GAP, version 1.3 Manual for the XMOD share package, Chapter 73, 1357–1422."
MR1840174,"Schönert, M. et al, GAP: Groups, Algorithms, and Programming, Lehrstuhl ${\rm D}$ für Mathematik, Rheinisch Westfälische Technische Hochschule, Aachen, Germany, third edition, 1993."
MR1796665,"Alp, M., and Wensley, C. D., XMOD, Crossed modules and cat1-groups in GAP, version 1.3 Manual for the XMOD share package, (1996) 1–80."
MR1796665,"Schönert, M. et al, GAP: Groups, Algorithms, and Programming, Lehrstuhl D für Mathematik, Rheinisch Westfälische Technische Hochschule, Aachen, Germany, third edition, 1993."
MR2684246,"Alp, M.: GAP, crossed modules, cat1-groups: applications of computational group theory. PhD thesis, University of Wales, Bangor (1997)"
MR2684246,"Alp, M., Wensley, C.D.: XMod: crossed modules and cat1-groups in GAP, version 2.12. http://www.maths.bangor.ac.uk/chda/xmod/ (2008)"
MR2684246,"The GAP Group: GAP—groups, algorithms, programming, version 4.4. http://www.gapsystem.org (2004)"
MR3163022,"The GAP Group, GAP–Groups, Algorithms, and Programming, Version 4.4.10; 2007, http://www.gap-system.org."
MR2917119,Homological Algebra programming. A package for the GAP computational algebra system. http://www.gap-system.org/Packages/hap.html
MR2917119,"Romero, A., Ellis, G., Rubio, J.: Interoperating between computer algebra systems: computing homology of groups wiht Kenzo and GAP. In: Proceeding ISSAC 2099, pp. 303–310, ACM, New York (2009) 
MR2742718"
MR2917119,"The GAP group. GAP—Groups, Algorithms, and Programming. http://www.gap-system.org"
MR3569967,"The GAP Group, GAP–Groups, Algorithms, and Programming, available online at http://www.gap-system.org"
MR2193212,"The GAP Group, `GAP - groups, algorithms, and programming', Version 4.4, 2004, http://www.gap-system.org.219, 242"
MR3944212,"The GAP Group, GAP – Groups, Algorithms, and Programming, Version 4.9.1, https://www.gap-system.org, 2018."
MR3575974,"The GAP Group, GAP — Groups, Algoritms, and Programming, version 4.4.10, 2007, http://www.gap-system.org."
MR2220418,"M. Schönert et al. GAP—Groups, Algorithms, and Programming. Version 3, share package CHEVIE. Lehrstuhl D für Mathematik, RWTH Aachen University (1997). http://www.gap-system.org."
MR2410917,"The GAP Group, GAP–Groups, Algorithms, and Programming, Version 4.4.9, 2006, http://www.gap-system.org. 131"
MR2013354,"The GAP Team, GAP—Groups, Algorithms, and Programming, Version 4, Lehrstuhl D für Mathematik, RWTH Aachen, and School of Mathematical and Computational Sciences, University of St Andrews, 2000."
MR2149075,"GAP Team. GAP—Groups, Algorithms, and Programming, Version 4. Lehrstuhl D. für Mathematik, RWTH Aachen and School of Mathematical and Computational Sciences, University of St. Andrews, 2000."
MR1998146,"The GAP Group, `GAP-groups, algorithms, and programming, Version 4.3' (2002), http://www.gap-system.org. 119"
MR2658416,"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.4 (2005) http://www.gap-system.org."
MR2675542,"The GAP Group, GAP–Groups, Algorithms, and Programming, Version 4.4.10; 2007, (http://www.gap-system.org)."
MR2410917,"The GAP Group, GAP–Groups, Algorithms, and Programming, Version 4.4.9, 2006, http://www.gap-system.org. 131"
MR2354854,"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.4, http://www.gap-system.org, 2005."
MR2063006,"The GAP Team, GAP–Groups, Algorithms, and Programming, Version 4. Lehrstuhl D für Mathematik, RWTH Aachen, and School of Mathematical and Computational Sciences, University of St. Andrews (2000)."
MR2818858,"The GAP Group, GAP—Groups, algorithms, and programming, version 4.4, http://www.gap-system.org,2005."
MR2891136,"GAP Group, GAP–groups, algorithms, and programming, version 4.4.12, http://www.gap-system.org."
MR3018177,"The GAP Group: GAP—Groups, Algorithms, and Programming, Version 4.4. http://www.gap-system.org (2005)"
MR3414072,"The GAP Group, GAP–Groups, Algorithms, and Programming, Version 4.7.7, 2015, http://www.gap-system.org."
MR3801282,"The GAP Group, GAP — Groups, Algorithms, and Programming, Version 4.8.4 (2016); http://www.gap-system.org."
MR3686981,"The GAP Group, GAP — groups, algorithms, and programming, version 4.7.9, http://www.gapsystem.org, 2015."
MR2889543,"The GAP Group, GAP–Groups, Algorithms, and Programming, Version 4.4 (2006) Available at http://www.gap-system.org"
MR3169027,"The GAP Group. GAP - Groups, Algorithms and Programming, Version 4.4, 2006 (http://www.gap-system.org)"
MR3461068,"The GAP Group, GAP - Groups, Algorithms, and Programming, version 4.6.2, http://www.gap-system.org, 2013."
MR2652482,"The GAP Group, GAP - Groups, Algorithms, and Programming, Version 4.4.12, http://www.gap-system.org, 2008."
MR2652482,"R.A. Wilson, R.A. Parker, S.J. Nickerson, J.N. Bray, T. Breuer, AtlasRep, A GAP Interface to the Atlas of Group Representations, Version 1.4 2008, Refereed GAP package, http://www.math.rwth-aachen.de/$\sim$Thomas.Breuer/atlasrep."
MR2389459,"Martin Schönert et al. ""GAP - Groups, Algorithms, and Programming - version 3 release 4 patchlevel 4"". Lehrstuhl D für Mathematik, Rheinisch Westfälische Technische Hochschule, Aachen, Germany, 1997."
MR2786171,"The GAP Group, GAP—Groups, Algorithms, and Programming, Version 4.4.12 (2008). http://www. gap-system.org"
MR2786171,"Graña M., Vendramin L.: RiG, A GAP package for racks and Nichols Algebras, available at http://mate. dm.uba.ar/$\sim$lvendram"
MR2840161,"T. Breuer, The GAP Character Table Library, Version 1.2 (unpublished); http://www.math.rwth-aachen.de/$\sim$Thomas.Breuer/ctbllib/"
MR2840161,"W. Fulton and J. Harris, Representation theory, Springer-Verlag, New York 1991. The GAP Group, GAP - Groups, Algorithms, and Programming, Version 4.4.12; 2008, (http://www.gap-system.org). 
MR1153249"
MR2840161,"R. A. Wilson, R. A. Parker, S. Nickerson, J. N. Bray and T. Breuer, Atlas Rep, A GAP Interface to the ATLAS of Group Representations. Version 1.4, http://www.math.rwth-aachen.de/$\sim$Thomas.Breuer/atlasrep, 2007, Refereed GAP package."
MR3133699,"The GAP Group, GAP—Groups, Algorithms and Programming, Version 4.4.12, (2008), http://www.gap-system.org."
MR3677868,"The GAP Group, GAP – Groups, Algorithms, and Programming, Version 4.7.8 (2015). http://www.gap-system.org."
MR2799090,"The GAP Group. GAP-Groups, Algorithms, and Programming, version 4.4.12, http://www.gap-system.org. 2008."
MR2799090,"M. Graña and L. Vendramin, RiG, A GAP package for racks and Nichols Algebras, available at http://mate.dm.uba.ar/~lvendram."
MR2745542,"T. Breuer, The GAP Character Table Library, Version 1.2 (unpublished), http://www.math.rwth-aachen.de/$\sim$Thomas.Breuer/ctbllib/."
MR2745542,"The GAP Group, GAP - Groups, Algorithms, and Programming, Version 4.4.12, 2008, available at http://www.gapsystem.org."
MR2745542,"R.A. Wilson, R.A. Parker, S. Nickerson, J.N. Bray, T. Breuer, AtlasRep, A GAP Interface to the ATLAS of Group Representations, Version 1.4, refereed GAP package, http://www.math.rwth-aachen.de/$\sim$Thomas.Breuer/atlasrep, 2007."
MR2745541,"T. Breuer, The GAP Character Table Library, Version 1.2 (unpublished), http://www.math.rwth-aachen.de/$\sim$Thomas.Breuer/ctbllib/."
MR2745541,"The GAP Group, GAP - Groups, Algorithms, and Programming, Version 4.4.12; 2008. available at http://www.gapsystem.org."
MR2745541,"R.A. Wilson, R.A. Parker, S. Nickerson, J.N. Bray, T. Breuer, AtlasRep, A GAP Interface to the ATLAS of Group Representations, Version 1.4, 2007, refereed GAP package. http://www.math.rwth-aachen.de/$\sim$Thomas.Breuer/atlasrep."
MR3908852,"The GAP Group: GAP—Groups, Algorithms and Programming. Version 4.4.12 (2008). http://www.gap-system.org"
MR4050668,"The GAP Group, GAP – groups, algorithms and programming, Version 4.9.3, 2018, http://www.gap-system.org."
MR3963087,"The GAP Group. (2018). GAP groups, algorithms and programming, version 4.9.3. http://www.gap-system.org."
MR2862555,"The GAP Group, GAP - Groups, Algorithms and Programming, Version 4.4, 2004."
MR2862555,"M. Neunhöffer, Á. Seress, GAP Package ""recogbase"", http://www-groups.mcs.st-and.ac.uk/$\sim$neunhoef/ Computer/Software/Gap/recogbase.html."
