MRNO
4056124
3942387
3354065
3646312
1864795
2287843
2175389
2149067
2293309
2330635
2458407
2416600
2371966
2650379
2671230
2387528
2424280
2514858
2546325
2725682
2726552
2764826
2824534
2846396
3149684
3297734
3395696
3539599
3654193
3635141
3730759
3691357
3764905
3910666
3924790
4089644
4098943
3116785
3073368
3698080
1808708
3449941
2122050
2706925
3468053
2216517
2986074
3590865
3639606
97k:14021
3520420
3354073
2101111
2430408
2375514
2401257
2729387
3373319
3885946
3944602
2893470
3730658
3292056
2860370
3786749
3963088
1871890
1916567
2167009
4120272
3096845
3975975
2403396
2942961
3503393
3960350
3295586
3939480
3110815
3568918
3696107
3902341
4045406
4114312
4153328
4090499
4158512
4163372
4197103
2156685
2501429
2967225
3898216
2728929
2533593
1991706
3497178
2001b:05035
3363609
1993362
2159235
2174866
2278116
2401559
2303162
2404644
2660431
2923663
3293591
3943349
4180130
4170882
3763899
3906521
2669349
2953198
2142087
3096581
4095494
3795420
3874025
1776049
1698583
1935568
2248746
1889210
1840174
1841735
1810032
1796665
2684246
3163022
2917119
3569967
2193212
3944212
3575974
3864855
2220418
2001a:20026
2013354
2149075
1998146
2658416
2675542
2410917
2354854
2063006
2818858
2891136
3018177
3414072
3801282
3686981
2889543
3169027
2175453
3461068
2652482
2389459
2786171
2840161
3133699
3677868
2799090
2745542
2745541
3908852
4050668
3963087
2862555
2483829
2494358
2418124
2089251
3211801
1895404
2100354
2578344
2738539
3358042
3725240
3724696
3666217
3763896
2995039
3395375
3430360
3885139
4163065
4196390
2036652
1970987
2059522
3482340
3886270
2146450
4203535
3904442
3986530
2915451
98f:12004
3573365
3507280
98f:14020
1831676
2188450
2763015
3575975
3977724
2307421
3005607
3761396
2176489
1810841
2050157
2083462
2206317
2108801
3955200
3999087
4165842
4142064
3063895
3424052
3550351
2178086
2299794
2358616
3095137
2899926
98a:20039
2949209
2748335
2520526
3851116
2173965
2726572
3320863
4125845
3921334
3544422
2854847
3283836
98k:68092
1755522
2746050
3658506
3708050
3715687
3787812
3824793
3894722
4002537
98i:20042
2002b:51002
3508302
3475065
3854064
4052374
3759293
4131124
2946450
2075257
2327323
3935380
4020373
3618158
3551906
3276824
4107596
1667943
2273130
2271685
2000d:52013
2356140
2519160
2408485
2684077
2956331
3010114
3337174
3150758
3744777
1695016
3957954
3995003
2864860
4109354
3361643
3386519
3092787
1941921
3658297
3893365
4156098
2555698
3780407
2382459
2376796
2850041
4128140
2422501
2334641
3325626
3272384
3739185
3795627
4125850
2029789
2868897
2795737
2854188
3261464
1473430
2003626
4113853
2000h:51021
98e:51016
98e:51015
1883981
2608962
2308856
3647965
2983192
2266824
2266850
2254535
2001e:11118
2009317
2171236
2066313
2218347
2320997
2595090
3084710
3305041
3746628
3641831
3840333
99f:14030a
2247887
99d:14019
2040575
3917961
3483355
3622353
3145212
3345535
3885655
3984403
4080404
3507162
4068903
4088562
2191657
2118178
2358617
2471982
2538016
3438307
3619112
3592608
3957829
2118274
2090062
2339279
1328439
2000h:20094
1829471
2166794
2116194
3626252
2135124
2329563
2358065
2782567
3468089
3747580
3975976
2097475
2183519
3297736
3383951
3400404
3449246
3453984
3572051
3568919
3592115
3772906
3846342
3939267
4079645
4160306
2655289
2171086
2062999
1799483
99g:05016
1935571
3147207
3403179
3785421
3503684
3848461
2000c:20002
1826989
1853124
1935567
2001b:20017
2081924
2225499
3565438
3720803
4108336
98g:20017
2032983
2103323
2171593
2544289
3883809
3976189
2228637
2256391
3512627
1932707
2438584
3918476
3962570
2283679
2430793
2666671
2471983
2744209
2233132
3093857
3592325
4020334
3635125
1840383
2996872
3008911
3283755
2574721
3512657
3537913
3654197
3621727
3710034
3836249
2868584
